Date,Open,High,Low,Close,Adj Close,Volume
2013-12-10,118.099998,124.699997,114.800003,123.699997,114.717346,6406819
2013-12-11,123.000000,123.699997,114.400002,117.550003,109.013939,6545655
2013-12-12,117.000000,119.199997,114.050003,117.250000,108.735733,5385410
2013-12-13,115.949997,116.699997,112.599998,113.500000,105.258041,3445000
2013-12-16,113.400002,115.750000,112.849998,114.650002,106.324524,1992818
2013-12-17,115.000000,116.699997,113.250000,114.400002,106.092697,2762568
2013-12-18,113.000000,117.900002,112.099998,116.449997,107.993820,4052177
2013-12-19,117.300003,117.750000,111.650002,112.750000,104.562500,3560483
2013-12-20,112.750000,115.449997,111.750000,114.750000,106.417282,2554978
2013-12-23,114.250000,116.800003,113.250000,114.099998,105.814476,3822772
2013-12-24,114.699997,118.000000,114.250000,117.099998,108.596626,4896481
2013-12-26,117.599998,121.500000,117.150002,118.300003,109.709496,5419183
2013-12-27,119.000000,119.900002,116.550003,117.050003,108.550255,1567825
2013-12-30,117.800003,118.599998,116.050003,117.099998,108.596626,1118828
2013-12-31,117.500000,117.800003,114.300003,116.050003,107.622887,1142582
2014-01-01,116.650002,118.849998,116.349998,117.900002,109.338516,1264048
2014-01-02,118.500000,120.849998,115.050003,116.400002,107.947456,2890430
2014-01-03,116.050003,116.750000,112.250000,114.550003,106.231796,1894828
2014-01-06,115.199997,122.300003,113.500000,121.099998,112.306145,3243954
2014-01-07,122.000000,123.300003,119.599998,120.800003,112.027946,4921168
2014-01-08,121.500000,121.900002,116.199997,116.750000,108.272049,3231748
2014-01-09,117.000000,117.650002,111.599998,112.099998,103.959694,2426309
2014-01-10,112.699997,113.199997,106.550003,107.300003,99.508255,3338769
2014-01-13,108.449997,108.650002,103.500000,104.900002,97.282539,3224814
2014-01-14,105.599998,108.250000,104.150002,104.849998,97.236168,2543840
2014-01-15,105.599998,109.800003,105.400002,108.900002,100.992081,2648864
2014-01-16,108.800003,109.849998,105.599998,106.050003,98.349037,1879612
2014-01-17,106.000000,107.500000,103.099998,103.500000,95.984200,1252591
2014-01-20,103.000000,109.699997,102.750000,108.800003,100.899338,2171491
2014-01-21,109.750000,110.650002,106.599998,107.250000,99.461906,2454227
2014-01-22,107.650002,108.250000,105.800003,107.199997,99.415520,1426315
2014-01-23,106.199997,109.900002,106.199997,108.599998,100.713860,2357719
2014-01-24,108.000000,108.000000,104.099998,104.449997,96.865204,1339551
2014-01-27,102.949997,102.949997,98.400002,99.650002,92.413788,1703177
2014-01-28,99.099998,101.900002,96.849998,100.949997,93.619377,2389834
2014-01-29,101.650002,102.650002,98.550003,99.099998,91.903709,1343693
2014-01-30,97.800003,107.400002,97.099998,106.349998,98.627258,8523008
2014-01-31,107.550003,109.250000,104.250000,106.099998,98.395393,3576814
2014-02-03,106.400002,108.599998,105.050003,106.300003,98.580879,2917941
2014-02-04,105.300003,109.150002,104.050003,108.199997,100.342896,2956592
2014-02-05,109.000000,115.449997,109.000000,114.849998,106.510002,7336763
2014-02-06,116.000000,118.699997,115.000000,116.500000,108.040184,4879049
2014-02-07,117.750000,119.000000,115.449997,118.750000,110.126808,2595518
2014-02-10,119.000000,122.099998,118.300003,121.349998,112.538010,3895108
2014-02-11,121.349998,121.900002,118.400002,119.099998,110.451385,2648596
2014-02-12,119.050003,124.900002,119.050003,124.650002,115.598358,5499834
2014-02-13,125.349998,125.449997,117.750000,118.400002,109.802223,3132240
2014-02-14,118.900002,120.400002,115.050003,118.849998,110.219528,2560265
2014-02-17,119.599998,121.900002,118.300003,121.250000,112.445267,2414689
2014-02-18,121.300003,123.449997,119.750000,122.349998,113.465385,3033544
2014-02-19,122.449997,123.199997,120.750000,122.550003,113.650871,1774419
2014-02-20,121.500000,122.000000,119.500000,120.500000,111.749718,1867382
2014-02-21,120.550003,124.349998,120.550003,123.750000,114.763725,2383531
2014-02-24,123.800003,129.199997,123.000000,128.699997,119.354256,5083639
2014-02-25,129.949997,129.949997,126.550003,128.000000,118.705086,2085589
2014-02-26,128.500000,132.399994,126.849998,131.800003,122.229149,3548053
2014-02-28,132.000000,133.949997,131.100006,133.399994,123.712975,2653557
2014-03-03,133.500000,136.149994,132.850006,135.250000,125.428650,4551889
2014-03-04,135.000000,141.750000,133.699997,140.949997,130.714722,3851884
2014-03-05,141.000000,142.500000,138.149994,138.949997,128.859955,3198698
2014-03-06,140.000000,147.399994,139.100006,145.699997,135.119797,5936812
